model,stage,instance_id,final_item_review1_ok,final_item_review2_ok,double_pass,final_item_review1_issues,final_item_review2_issues
gpt-5.4-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_08_e06_sublime_python_script_execution_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_11_e07_sublime_python_script_execution_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_12_e08_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_13_e09_dns_packet_capture_batch_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_14_e09_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_15_e10_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_16_e11_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_17_e12_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_18_e13_dns_packet_capture_batch_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_19_e13_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_20_e14_dns_packet_capture_batch_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_21_e15_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_22_e16_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_23_e17_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_24_e18_cmdexe_other_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_25_e18_dns_packet_capture_batch_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_26_e18_python_simplehttpserver_network_chain_stage3,True,True,True,,
gpt-5.4-mini,stage3,chain_27_e19_dns_packet_capture_batch_chain_stage3,True,True,True,,
