micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,attack_events,normal_events,total_events,score,top_processes,top_event_ids
17,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro00,42,761,0,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
18,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro03,42,761,3,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
19,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro06,42,761,6,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
20,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro02,43,234,2,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
21,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro05,43,234,5,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
22,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro08,43,234,8,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
23,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro01,44,231,1,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
24,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro04,44,231,4,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
25,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro07,44,231,7,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
26,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro02,45,50,2,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
27,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro05,45,50,5,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
28,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro08,45,50,8,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
29,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro01,46,742,1,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
30,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro04,46,742,4,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
31,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro07,46,742,7,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
32,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro03,47,5,3,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
33,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro06,47,5,6,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
34,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro09,47,5,9,0,10,10,7112455359.498464,tpautoconnect.exe:10,"4656:4, 4663:3, 4658:3"
35,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro02,42,761,2,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
36,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro05,42,761,5,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
37,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro04,43,234,4,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
38,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro07,43,234,7,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
39,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro00,44,231,0,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
40,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro03,44,231,3,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
41,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro06,44,231,6,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
42,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro01,45,50,1,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
43,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro04,45,50,4,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
44,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro00,46,742,0,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
45,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro03,46,742,3,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
46,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro06,46,742,6,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
47,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro01,47,5,1,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
48,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro05,47,5,5,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
49,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro08,47,5,8,0,10,10,7111729584.366641,tpautoconnect.exe:10,"4658:4, 4656:3, 4663:3"
50,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro08,44,231,8,0,10,10,3.483362796129369,"tpautoconnect.exe:7, vmtoolsd.exe:3","4663:4, 4658:3, 4656:3"
51,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro08,42,761,8,0,10,10,3.131174867714159,"vmtoolsd.exe:6, explorer.exe:4","4663:4, 4658:3, 4656:3"
52,win-32-h1|aalsahee|20220719T1430Z|chunk231|micro09,44,231,9,0,10,10,3.068800166621051,"tpautoconnect.exe:4, vmtoolsd.exe:4, firefox.exe:2","4658:4, 4656:3, 4663:3"
53,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro01,43,234,1,0,10,10,2.7892249965201086,"vmtoolsd.exe:7, firefox.exe:3","4658:4, 4656:3, 4663:3"
54,win-32-h1|aalsahee|20220719T1430Z|chunk742|micro09,46,742,9,0,10,10,2.584830256574082,"tpautoconnect.exe:4, vmtoolsd.exe:4, firefox.exe:2","4656:4, 4658:3, 4663:3"
55,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro07,42,761,7,0,10,10,2.5570351660005715,"tpautoconnect.exe:5, vmtoolsd.exe:5","4663:4, 4658:3, 4656:3"
56,win-32-h1|aalsahee|20220719T1430Z|chunk761|micro09,42,761,9,0,4,4,2.3406581810769693,vmtoolsd.exe:4,"4658:2, 4656:1, 4663:1"
57,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro07,45,50,7,0,10,10,2.160014419449248,"tpautoconnect.exe:7, vmtoolsd.exe:3","4658:4, 4656:3, 4663:3"
58,win-32-h1|aalsahee|20220719T1430Z|chunk234|micro00,43,234,0,0,10,10,1.9958536714636128,"explorer.exe:5, taskhost.exe:3, vmtoolsd.exe:2","4663:4, 4656:3, 4658:3"
59,win-32-h1|aalsahee|20220719T1430Z|chunk050|micro00,45,50,0,0,10,10,1.77412518264522,"tpautoconnect.exe:8, vmtoolsd.exe:2","4663:4, 4658:3, 4656:3"
60,win-32-h1|aalsahee|20220719T1430Z|chunk005|micro02,47,5,2,0,10,10,1.5007802172912421,"tpautoconnect.exe:6, firefox.exe:4","4663:4, 4658:4, 4656:2"
