chain_id,chain_title,expected_behavior,chain_type,scenario_group,framework_group,model,run_count,replicate_count,stage_count,gold_step_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,overclaim_per_run,gold_subjects,gold_objects
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.907,0.889,0.778,0.562,35,3.89,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.667,12,4.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.444,0.222,0.111,0.247,58,6.44,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58199
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.889,0.889,0.889,0.667,22,2.44,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58199
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.659,15,5.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58199
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-4.1-mini,9,3,3,10,0.293,0.056,0.123,0.635,27,3.00,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py"
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-5.4-mini,9,3,3,10,0.659,0.567,0.198,0.629,26,2.89,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py"
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-5.5 low raw,3,1,3,10,0.833,0.833,0.815,0.852,16,5.33,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld.py"""" | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py | C:\Program Files\Sublime Text 3\helloworld.py"
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-4.1-mini,9,3,3,2,0.278,0.000,0.111,0.197,49,5.44,discord.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"" | C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"""
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-5.4-mini,9,3,3,2,0.796,0.667,0.667,0.500,25,2.78,discord.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"" | C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"""
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-5.5 low raw,3,1,3,2,0.667,0.667,0.667,0.538,12,4.00,discord.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"" | C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe"""
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,discord_run_key_registry_chain,semantic_interpretation_chain,persistence_registry_run_key,gpt-4.1-mini,9,3,3,3,0.506,0.148,0.167,0.444,40,4.44,discord.exe -> reg.exe -> reg.exe,"C:\Windows\System32\reg.exe (query/add reg.exe child processes) | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord = ""C:\Users\aalsahee\AppData\Local\Discord\Update.exe --processStart Discord.exe"""
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,discord_run_key_registry_chain,semantic_interpretation_chain,persistence_registry_run_key,gpt-5.4-mini,9,3,3,3,0.642,0.481,0.333,0.719,18,2.00,discord.exe -> reg.exe -> reg.exe,"C:\Windows\System32\reg.exe (query/add reg.exe child processes) | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord = ""C:\Users\aalsahee\AppData\Local\Discord\Update.exe --processStart Discord.exe"""
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,discord_run_key_registry_chain,semantic_interpretation_chain,persistence_registry_run_key,gpt-5.5 low raw,3,1,3,3,1.000,0.667,0.667,0.750,11,3.67,discord.exe -> reg.exe -> reg.exe,"C:\Windows\System32\reg.exe (query/add reg.exe child processes) | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord | HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord = ""C:\Users\aalsahee\AppData\Local\Discord\Update.exe --processStart Discord.exe"""
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-4.1-mini,9,3,3,6,0.549,0.204,0.200,0.520,48,5.33,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py"
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-5.4-mini,9,3,3,6,0.809,0.704,0.600,0.655,30,3.33,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py"
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,sublime_python_script_execution_chain,multi_step_tool_chain,script_execution_chain,gpt-5.5 low raw,3,1,3,6,0.944,0.944,0.800,0.806,14,4.67,plugin_host.exe -> cmd.exe -> cmd.exe -> cmd.exe -> python.exe,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py"""" | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py | C:\Users\aalsahee\Documents\hello.py"
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.593,0.333,0.556,0.493,35,3.89,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:39277
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.963,0.944,0.889,0.558,38,4.22,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:39277
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.700,12,4.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:39277
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-4.1-mini,9,3,3,5,0.289,0.067,0.083,0.403,40,4.44,explorer.exe -> cmd.exe -> cmd.exe -> explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe | C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.4-mini,9,3,3,5,0.674,0.578,0.389,0.629,23,2.56,explorer.exe -> cmd.exe -> cmd.exe -> explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe | C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.5 low raw,3,1,3,5,1.000,1.000,1.000,0.717,17,5.67,explorer.exe -> cmd.exe -> cmd.exe -> explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe | C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.444,0.167,0.000,0.301,51,5.67,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.704,0.667,0.667,0.543,43,4.78,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.667,12,4.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 待受/通信先詳細は限定的
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.519,0.278,0.222,0.352,46,5.11,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:54869
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.833,0.833,0.778,0.815,10,1.11,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:54869
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.750,8,2.67,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:54869
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.463,0.278,0.333,0.366,45,5.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:51647
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.889,0.889,0.889,0.719,16,1.78,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:51647
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.706,10,3.33,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:51647
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.611,0.222,0.556,0.440,42,4.67,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:48503
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.926,0.833,0.889,0.833,8,0.89,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:48503
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.710,9,3.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:48503
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-4.1-mini,9,3,3,2,0.722,0.278,0.444,0.264,89,9.89,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.4-mini,9,3,3,2,0.852,0.667,0.778,0.333,48,5.33,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.647,12,4.00,explorer.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat"
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.537,0.222,0.333,0.324,50,5.56,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:59277
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.852,0.833,0.778,0.879,4,0.44,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:59277
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.667,12,4.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:59277
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.481,0.167,0.111,0.622,14,1.56,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:49187
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.833,0.833,0.778,0.905,4,0.44,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:49187
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.686,11,3.67,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:49187
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.630,0.278,0.556,0.708,14,1.56,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58211
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,0.963,0.944,0.889,0.870,7,0.78,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58211
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.774,7,2.33,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:58211
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-4.1-mini,9,3,3,2,0.611,0.389,0.222,0.475,32,3.56,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:41345
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.4-mini,9,3,3,2,1.000,1.000,1.000,1.000,0,0.00,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:41345
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,python_simplehttpserver_network_chain,explicit_execution_chain,network_service_behavior,gpt-5.5 low raw,3,1,3,2,1.000,1.000,1.000,0.706,10,3.33,python.exe -> python.exe,python  -m SimpleHTTPServer | 10.193.66.115:41345
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-4.1-mini,9,3,3,3,0.543,0.222,0.167,0.390,75,8.33,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\run_http_server.bat"" "" | run_http_server.bat | python.exe"
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-5.4-mini,9,3,3,3,0.741,0.778,0.556,0.398,68,7.56,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\run_http_server.bat"" "" | run_http_server.bat | python.exe"
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,cmdexe_other_chain,explicit_execution_chain,command_shell_execution,gpt-5.5 low raw,3,1,3,3,1.000,1.000,1.000,0.471,37,12.33,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\run_http_server.bat"" "" | run_http_server.bat | python.exe"
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-4.1-mini,9,3,3,3,0.593,0.259,0.333,0.489,45,5.00,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe"
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,dns_packet_capture_batch_chain,multi_step_tool_chain,collection_or_tool_invocation,gpt-5.4-mini,9,3,3,3,0.827,0.778,0.722,0.352,68,7.56,explorer.exe -> cmd.exe -> cmd.exe,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" "" | start_dns_logs.bat | tshark.exe"
