chain_id,chain_title,expected_behavior,model,stage,run_count,replicate_count,gold_step_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,overclaim_per_run
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,0.889,0.833,0.667,0.607,11,3.67
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,0.667,0.824,3,1.00
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.750,4,4.00
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.500,12,12.00
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,0.667,1.000,0.000,0.667,4,4.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage1,3,3,2,0.944,0.833,0.667,0.552,13,4.33
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage2,3,3,2,0.444,0.000,0.000,0.163,36,12.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage3,3,3,2,0.500,0.333,0.333,0.118,45,15.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage1,3,3,2,1.000,0.333,1.000,0.346,17,5.67
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage2,3,3,2,1.000,0.667,0.333,0.538,6,2.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage3,3,3,2,0.611,0.500,0.000,0.278,26,8.67
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.500,6,6.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.500,8,8.00
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.333,12,12.00
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.556,0.500,0.333,0.360,16,5.33
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.611,0.333,0.667,0.277,34,11.33
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.222,0.167,0.000,0.333,6,2.00
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.833,0.833,0.667,0.545,15,5.00
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.583,10,3.33
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,0.667,0.565,10,3.33
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,1.000,0,0.00
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.625,6,6.00
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.500,6,6.00
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.444,0.167,0.000,0.240,19,6.33
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.611,0.333,0.333,0.237,29,9.67
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.278,0.167,0.000,0.286,10,3.33
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.889,0.833,1.000,0.583,10,3.33
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.704,8,2.67
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.778,0.833,0.667,0.733,4,1.33
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.750,3,3.00
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.625,6,6.00
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.625,6,6.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage1,3,3,10,0.500,0.133,0.259,0.615,20,6.67
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage2,3,3,10,0.378,0.033,0.111,0.682,7,2.33
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage3,3,3,10,0.000,0.000,0.000,,0,0.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage1,3,3,10,0.822,0.600,0.333,0.842,3,1.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage2,3,3,10,0.567,0.533,0.111,0.423,15,5.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage3,3,3,10,0.589,0.567,0.148,0.680,8,2.67
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage1,1,1,10,1.000,1.000,1.000,0.833,8,8.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage2,1,1,10,0.500,0.500,0.444,1.000,0,0.00
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage3,1,1,10,1.000,1.000,1.000,0.833,8,8.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage1,3,3,2,0.722,0.000,0.333,0.244,31,10.33
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage2,3,3,2,0.056,0.000,0.000,0.250,3,1.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage3,3,3,2,0.056,0.000,0.000,0.062,15,5.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage1,3,3,2,0.556,0.333,0.333,0.250,15,5.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.647,6,2.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage3,3,3,2,0.833,0.667,0.667,0.692,4,1.33
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage1,1,1,2,0.000,0.000,0.000,0.000,12,12.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,1.000,0,0.00
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,1.000,0,0.00
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-4.1-mini,stage1,3,3,3,0.630,0.111,0.333,0.350,26,8.67
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-4.1-mini,stage2,3,3,3,0.222,0.000,0.000,0.625,3,1.00
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-4.1-mini,stage3,3,3,3,0.667,0.333,0.167,0.542,11,3.67
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.4-mini,stage1,3,3,3,0.667,0.333,0.500,0.824,3,1.00
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.4-mini,stage2,3,3,3,0.593,0.556,0.333,0.692,8,2.67
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.4-mini,stage3,3,3,3,0.667,0.556,0.167,0.667,7,2.33
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.5 low raw,stage1,1,1,3,1.000,0.000,0.000,0.750,3,3.00
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.5 low raw,stage2,1,1,3,1.000,1.000,1.000,1.000,0,0.00
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,Discord Run key registry chain,gpt-5.5 low raw,stage3,1,1,3,1.000,1.000,1.000,0.600,8,8.00
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage1,3,3,6,0.630,0.278,0.200,0.409,26,8.67
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage2,3,3,6,0.352,0.056,0.067,0.571,9,3.00
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-4.1-mini,stage3,3,3,6,0.667,0.278,0.333,0.629,13,4.33
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage1,3,3,6,0.796,0.500,0.533,0.724,8,2.67
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage2,3,3,6,0.815,0.778,0.667,0.857,3,1.00
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.4-mini,stage3,3,3,6,0.815,0.833,0.600,0.486,19,6.33
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage1,1,1,6,0.833,0.833,0.800,0.833,4,4.00
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage2,1,1,6,1.000,1.000,0.800,0.900,2,2.00
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,Sublime-triggered Python script execution,gpt-5.5 low raw,stage3,1,1,6,1.000,1.000,0.800,0.714,8,8.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.778,0.500,1.000,0.500,18,6.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.500,0.333,0.333,0.400,12,4.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.500,0.167,0.333,0.615,5,1.67
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,1.000,1.000,1.000,0.419,25,8.33
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.643,10,3.33
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,0.667,0.800,3,1.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.750,3,3.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.625,6,6.00
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.750,3,3.00
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage1,3,3,5,0.489,0.133,0.167,0.538,12,4.00
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage2,3,3,5,0.311,0.067,0.083,0.303,23,7.67
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage3,3,3,5,0.067,0.000,0.000,0.375,5,1.67
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage1,3,3,5,0.600,0.200,0.250,0.714,4,1.33
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage2,3,3,5,0.689,0.800,0.417,0.591,9,3.00
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage3,3,3,5,0.733,0.733,0.500,0.615,10,3.33
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage1,1,1,5,1.000,1.000,1.000,0.750,4,4.00
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage2,1,1,5,1.000,1.000,1.000,0.800,4,4.00
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage3,1,1,5,1.000,1.000,1.000,0.625,9,9.00
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.667,0.333,0.000,0.407,16,5.33
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.389,0.000,0.000,0.200,32,10.67
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.278,0.167,0.000,0.500,3,1.00
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,1.000,1.000,1.000,0.514,17,5.67
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,0.278,0.167,0.333,0.562,7,2.33
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.833,0.833,0.667,0.558,19,6.33
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.800,2,2.00
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.778,0.500,0.333,0.524,10,3.33
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.556,0.167,0.333,0.227,34,11.33
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.222,0.167,0.000,0.667,2,0.67
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.556,0.500,0.333,0.778,2,0.67
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.708,7,2.33
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.944,1.000,1.000,0.952,1,0.33
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.571,6,6.00
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.778,0.500,1.000,0.459,20,6.67
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.389,0.167,0.000,0.273,16,5.33
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.222,0.167,0.000,0.250,9,3.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.667,0.667,0.667,0.647,6,2.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.810,4,1.33
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,1.000,1.000,1.000,0.684,6,2.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.500,8,8.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.944,0.500,1.000,0.850,3,1.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.333,0.000,0.000,0.192,21,7.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.556,0.167,0.667,0.379,18,6.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.778,0.500,0.667,0.733,4,1.33
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.800,4,1.33
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.500,8,8.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,1.000,0,0.00
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage1,3,3,2,0.778,0.167,0.667,0.224,38,12.67
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage2,3,3,2,0.833,0.500,0.333,0.196,41,13.67
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage3,3,3,2,0.556,0.167,0.333,0.524,10,3.33
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage1,3,3,2,0.944,0.667,1.000,0.412,10,3.33
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage2,3,3,2,0.722,0.500,0.333,0.259,20,6.67
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,1.000,0.357,18,6.00
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.500,6,6.00
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.800,2,2.00
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.667,4,4.00
