model,stage,instance_id,chain_id,chain_type,scenario_group,scenario_group_ja,excluded_non_alert_gold,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,source_path,dataset_label,source_set,framework_group,evaluation_unit,replicate,contract,run_json,source_score_path,reviewed_at_utc,gold_file,format_failure_note,review1_pass,review2_pass,two_review_adoptable,adjudication_note,candidate_step_count,normalized_candidate_step_count,reviewer_a_source,reviewer_b_source,review_summary,run_id,input_tokens,output_tokens,cached_input_tokens,reasoning_effort,run_path_in_handoff,local_price_estimated_cost_usd,completed_at_utc,call_total_usd,effective_cost_usd,cost_source,duration_seconds_from_runid_to_costlog
gpt-4.1-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,chain_13_e09_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,15,1,5,1,4,10,20,10,0.6,0.2,0.25,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_13_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_13_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T085215Z_chain_13_e09_dns_packet_capture_batch_chain_stage1_gpt-4.1-mini_official,41470,4123,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_13_e09_dns_packet_capture_batch_chain_stage1_run.json,0.023184800000000002,,,0.023184800000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,chain_14_e09_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,6,3,0.5,0.0,0.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_14_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_14_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T101053Z_chain_14_e09_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,23167,2141,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_14_e09_python_simplehttpserver_network_chain_stage1_run.json,0.012692400000000001,,,0.012692400000000001,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,chain_15_e10_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,6,3,0.5,0.0,0.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_15_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_15_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T103945Z_chain_15_e10_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,51651,2660,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_15_e10_python_simplehttpserver_network_chain_stage1_run.json,0.024916400000000002,,,0.024916400000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,chain_16_e11_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,1,1,5,16,11,0.8333333333333334,0.0,1.0,0.3125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_16_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_16_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T111628Z_chain_16_e11_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,11124,1951,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_16_e11_python_simplehttpserver_network_chain_stage1_run.json,0.007571200000000001,,,0.007571200000000001,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,chain_17_e12_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,0,2,1,1,6,8,2,1.0,0.0,1.0,0.75,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_17_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_17_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T113746Z_chain_17_e12_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,105855,3637,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_17_e12_python_simplehttpserver_network_chain_stage1_run.json,0.0481612,,,0.0481612,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,chain_18_e13_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,5,6,0,2,1,1,5,25,20,0.8333333333333334,0.0,1.0,0.2,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_18_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_18_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T120005Z_chain_18_e13_dns_packet_capture_batch_chain_stage1_gpt-4.1-mini_official,34832,5086,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_18_e13_dns_packet_capture_batch_chain_stage1_run.json,0.022070400000000004,,,0.022070400000000004,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,chain_19_e13_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,0,1,5,16,11,0.8333333333333334,0.0,0.0,0.3125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_19_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_19_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260610T123405Z_chain_19_e13_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,22578,2990,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_19_e13_python_simplehttpserver_network_chain_stage1_run.json,0.013815200000000001,,,0.013815200000000001,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,chain_21_e15_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,0,1,5,12,7,0.8333333333333334,0.0,0.0,0.4166666666666667,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_21_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_21_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260611T003735Z_chain_21_e15_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,14378,2013,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_21_e15_python_simplehttpserver_network_chain_stage1_run.json,0.008972,,,0.008972,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,chain_22_e16_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,0,2,1,1,6,8,2,1.0,0.0,1.0,0.75,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_22_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_22_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260611T004251Z_chain_22_e16_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,23946,2420,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_22_e16_python_simplehttpserver_network_chain_stage1_run.json,0.013450400000000001,,,0.013450400000000001,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,chain_23_e17_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,1,1,0.0,0.0,0.0,0.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_23_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_23_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260611T005053Z_chain_23_e17_python_simplehttpserver_network_chain_stage1_gpt-4.1-mini_official,14239,1686,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_23_e17_python_simplehttpserver_network_chain_stage1_run.json,0.0083932,,,0.0083932,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,chain_24_e18_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,9,9,1,3,2,2,10,27,17,1.0,0.3333333333333333,1.0,0.37037037037037035,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_24_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,command_shell_execution,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_24_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260611T005750Z_chain_24_e18_cmdexe_other_chain_stage1_gpt-4.1-mini_official,25419,3943,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_24_e18_cmdexe_other_chain_stage1_run.json,0.016476400000000002,,,0.016476400000000002,local_price_estimate_no_cost_log,
gpt-4.1-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,9,1,3,1,2,10,12,2,1.0,0.3333333333333333,0.5,0.8333333333333334,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage1_codex_adjudicated_score.json,,,,,,,,,,,,,20260611T012054Z_chain_25_e18_dns_packet_capture_batch_chain_stage1_gpt-4.1-mini_official,28706,2134,0,,docs\current_experiment\handoff_20260614_component_rubric_experiment\01_experiment_raw_outputs\legacy27_raw\legacy27\gpt-4.1-mini\stage1\chain_25_e18_dns_packet_capture_batch_chain_stage1_run.json,0.0148968,,,0.0148968,local_price_estimate_no_cost_log,
