dataset_label,stage,stage_label,framework_group,run_count,chain_count,evaluable_chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
gpt-5.5_low_1complete_rep,stage1,alert_clue,network_service_behavior,13,13,13,26,0,0,26,0.000,0,0,NA,NA,0,26,0.000
gpt-5.5_low_1complete_rep,stage1,alert_clue,persistence_registry_run_key,1,1,1,3,0,0,3,0.000,0,0,NA,NA,0,3,0.000
gpt-5.5_low_1complete_rep,stage1,alert_clue,script_execution_chain,2,2,2,16,0,0,16,0.000,0,0,NA,NA,0,16,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,collection_or_tool_invocation,5,5,5,15,0,0,15,0.000,0,0,NA,NA,0,15,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,command_shell_execution,2,2,2,5,0,0,5,0.000,0,0,NA,NA,0,5,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,network_service_behavior,13,13,13,26,0,0,26,0.000,0,0,NA,NA,0,26,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,persistence_registry_run_key,1,1,1,3,0,0,3,0.000,0,0,NA,NA,0,3,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,script_execution_chain,2,2,2,16,0,0,16,0.000,0,0,NA,NA,0,16,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,collection_or_tool_invocation,5,5,5,15,0,0,15,0.000,0,0,NA,NA,0,15,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,command_shell_execution,2,2,2,5,0,0,5,0.000,0,0,NA,NA,0,5,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,network_service_behavior,13,13,13,26,0,0,26,0.000,0,0,NA,NA,0,26,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,persistence_registry_run_key,1,1,1,3,0,0,3,0.000,0,0,NA,NA,0,3,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,script_execution_chain,2,2,2,16,0,0,16,0.000,0,0,NA,NA,0,16,0.000
