model,stage,instance_id,chain_id,chain_type,scenario_group,scenario_group_ja,excluded_non_alert_gold,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,source_path,dataset_label,source_set,framework_group,evaluation_unit,replicate,contract,run_json,source_score_path,reviewed_at_utc,gold_file,format_failure_note,review1_pass,review2_pass,two_review_adoptable,adjudication_note,candidate_step_count,normalized_candidate_step_count,reviewer_a_source,reviewer_b_source,review_summary
gpt-4.1-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,chain_13_e09_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,15,1,5,1,4,10,20,10,0.6,0.2,0.25,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_13_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_13_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,chain_14_e09_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,6,3,0.5,0.0,0.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_14_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_14_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,chain_15_e10_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,6,3,0.5,0.0,0.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_15_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_15_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,chain_16_e11_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,1,1,5,16,11,0.8333333333333334,0.0,1.0,0.3125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_16_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_16_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,chain_17_e12_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,0,2,1,1,6,8,2,1.0,0.0,1.0,0.75,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_17_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_17_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,chain_18_e13_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,5,6,0,2,1,1,5,25,20,0.8333333333333334,0.0,1.0,0.2,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_18_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_18_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,chain_19_e13_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,0,1,5,16,11,0.8333333333333334,0.0,0.0,0.3125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_19_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_19_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,chain_21_e15_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,5,6,0,2,0,1,5,12,7,0.8333333333333334,0.0,0.0,0.4166666666666667,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_21_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_21_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,chain_22_e16_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,6,6,0,2,1,1,6,8,2,1.0,0.0,1.0,0.75,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_22_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_22_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,chain_23_e17_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,1,1,0.0,0.0,0.0,0.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_23_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_23_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,chain_24_e18_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,9,9,1,3,2,2,10,27,17,1.0,0.3333333333333333,1.0,0.37037037037037035,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_24_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,command_shell_execution,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_24_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,chain_25_e18_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,9,9,1,3,1,2,10,12,2,1.0,0.3333333333333333,0.5,0.8333333333333334,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_25_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,chain_26_e18_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,8,5,0.5,0.0,0.0,0.375,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_26_stage1_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_26_stage1_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,0,9,0,3,0,2,0,0,0,0.0,0.0,0.0,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,1,6,0,2,0,1,1,28,27,0.16666666666666666,0.0,0.0,0.03571428571428571,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,3,6,0,2,0,1,3,16,13,0.5,0.0,0.0,0.1875,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,collection_or_tool_invocation,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,chain_05_e03_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,1,6,0,2,0,1,1,8,7,0.16666666666666666,0.0,0.0,0.125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_05_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_05_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,chain_06_e04_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,0,2,0,1,3,8,5,0.5,0.0,0.0,0.375,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_06_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_06_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,chain_07_e05_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,11,30,0,10,2,9,11,16,5,0.36666666666666664,0.0,0.2222222222222222,0.6875,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_07_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,script_execution_chain,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_07_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,chain_09_e07_cmdexe_other_chain,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,False,1,6,0,2,0,1,1,4,3,0.16666666666666666,0.0,0.0,0.25,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_09_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,command_shell_execution,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_09_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,chain_10_e07_discord_run_key_registry_chain,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,False,6,9,0,3,0,2,5,8,3,0.6666666666666666,0.0,0.0,0.625,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_10_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,persistence_registry_run_key,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_10_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,chain_11_e07_sublime_python_script_execution_chain,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,False,11,18,0,6,1,5,6,12,6,0.6111111111111112,0.0,0.2,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_11_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,script_execution_chain,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_11_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
gpt-4.1-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,chain_12_e08_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,1,6,0,2,0,1,1,8,7,0.16666666666666666,0.0,0.0,0.125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_12_stage2_codex_adjudicated_score.json,gpt-4.1-mini_3run_filtered23_component,formal_27_chain_20260609_filtered_to_current_23,network_service_behavior,component_rubric_subject_action_object_evidence,legacy_27_filtered_20260609,legacy_formal27_component_review_filtered_to_23,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_12_stage2_codex_adjudicated_score.json,,,,,,,,,,,,
