model,stage,instance_id,chain_type,scenario_group,scenario_group_ja,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,stage2,chain_18_e13_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,0,2,0,1,5,24,19
gpt-4.1-mini,stage2,chain_19_e13_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,12,11
gpt-4.1-mini,stage2,chain_20_e14_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,0,2,1,1,5,16,11
gpt-4.1-mini,stage2,chain_21_e15_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,4,1
gpt-4.1-mini,stage2,chain_22_e16_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,4,1
gpt-4.1-mini,stage2,chain_23_e17_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,5,8,0,2,0,1,5,12,7
gpt-4.1-mini,stage2,chain_24_e18_cmdexe_other_chain_stage2,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,7,12,0,3,0,2,7,16,9
gpt-4.1-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,7,12,0,3,0,2,6,20,14
gpt-4.1-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,2,8,0,2,0,1,2,16,14
gpt-4.1-mini,stage2,chain_27_e19_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,4,8,0,2,0,1,3,12,9
gpt-4.1-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,2,12,0,3,0,2,2,8,6
gpt-4.1-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,8,0,2,0,1,4,8,4
gpt-4.1-mini,stage3,chain_03_e02_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,3,8,0,2,0,1,3,24,21
gpt-4.1-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,2,8,0,2,0,1,2,8,6
gpt-4.1-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,40,0,10,0,9,0,0,0
gpt-4.1-mini,stage3,chain_08_e06_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,16,15
gpt-4.1-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,adjudicated,6,12,0,3,1,2,6,12,6
gpt-4.1-mini,stage3,chain_11_e07_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,10,24,0,6,1,5,8,8,0
gpt-4.1-mini,stage3,chain_12_e08_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,2,8,0,2,0,1,2,4,2
gpt-4.1-mini,stage3,chain_13_e09_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,3,20,0,5,0,4,3,8,5
gpt-4.1-mini,stage3,chain_14_e09_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_15_e10_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_16_e11_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_17_e12_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,5,8,0,2,1,1,5,20,15
gpt-4.1-mini,stage3,chain_18_e13_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,4,8,0,2,0,1,4,12,8
gpt-4.1-mini,stage3,chain_19_e13_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,8,0,2,1,1,4,4,0
gpt-4.1-mini,stage3,chain_20_e14_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,0,0,0,0,0,0,12,12
gpt-4.1-mini,stage3,chain_21_e15_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_22_e16_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_23_e17_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,0,0
gpt-4.1-mini,stage3,chain_24_e18_cmdexe_other_chain_stage3,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,8,12,0,3,1,2,8,8,0
gpt-4.1-mini,stage3,chain_25_e18_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,12,0,3,0,2,5,8,3
gpt-4.1-mini,stage3,chain_26_e18_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,8,0,2,0,1,4,12,8
gpt-4.1-mini,stage3,chain_27_e19_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,0,0,0,0,0,0,0,0
