micro_rank,micro_chunk_id,coarse_chunk_rank,coarse_chunk_index,micro_chunk_index,attack_events,normal_events,total_events,score,top_processes,top_event_ids
31,win-32-h1|win-32-h1$|20220719T1420Z|chunk183|micro04,95,183,4,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
32,win-32-h1|win-32-h1$|20220719T1430Z|chunk101|micro05,99,101,5,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
33,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro00,100,163,0,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
34,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro02,100,163,2,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
35,win-32-h1|win-32-h1$|20220719T1420Z|chunk163|micro09,100,163,9,0,10,10,6924200933.605121,repwmiutils.exe:10,"4656:4, 4663:3, 4658:3"
36,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro09,97,160,9,0,10,10,6884254969.566981,wmiprvse.exe:10,"4656:4, 4663:3, 4658:3"
37,win-32-h1|win-32-h1$|20220719T1420Z|chunk069|micro03,78,69,3,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
38,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro02,79,180,2,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
39,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro08,79,180,8,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
40,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro01,80,12,1,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
41,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro07,80,12,7,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
42,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro03,82,104,3,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
43,win-32-h1|win-32-h1$|20220719T1420Z|chunk194|micro00,88,194,0,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
44,win-32-h1|win-32-h1$|20220719T1430Z|chunk018|micro00,91,18,0,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
45,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro00,96,3,0,0,10,10,6668296049.31477,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
46,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro02,74,86,2,0,10,10,6668013501.137466,spoolsv.exe:10,"4663:4, 4658:3, 4656:2, 4660:1"
47,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro08,74,86,8,0,10,10,6668013501.137466,spoolsv.exe:10,"4663:4, 4658:3, 4656:2, 4660:1"
48,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro02,85,28,2,0,10,10,6668013501.137466,spoolsv.exe:10,"4663:4, 4658:3, 4656:2, 4660:1"
49,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro07,79,180,7,0,10,10,6607302852.76425,"spoolsv.exe:9, tpautoconnsvc.exe:1","4658:4, 4656:3, 4663:3"
50,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro06,80,12,6,0,10,10,6607302852.76425,"spoolsv.exe:9, tpautoconnsvc.exe:1","4658:4, 4656:3, 4663:3"
51,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro02,77,126,2,0,10,10,6592710973.143934,spoolsv.exe:10,"4663:5, 4658:2, 4656:2, 4660:1"
52,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro04,81,186,4,0,10,10,6592710973.143934,spoolsv.exe:10,"4663:5, 4658:2, 4656:2, 4660:1"
53,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro03,84,33,3,0,10,10,6592710973.143934,spoolsv.exe:10,"4663:5, 4658:2, 4656:2, 4660:1"
54,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro08,85,28,8,0,10,10,6592710973.143934,spoolsv.exe:10,"4663:5, 4658:2, 4656:2, 4660:1"
55,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro08,96,3,8,0,10,10,6592710973.143934,spoolsv.exe:10,"4663:5, 4658:2, 4656:2, 4660:1"
56,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro01,77,126,1,0,10,10,6392753433.407823,spoolsv.exe:10,"4656:3, 4663:3, 4658:3, 4660:1"
57,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro03,81,186,3,0,10,10,6392753433.407823,spoolsv.exe:10,"4656:3, 4663:3, 4658:3, 4660:1"
58,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro02,84,33,2,0,10,10,6392753433.407823,spoolsv.exe:10,"4656:3, 4663:3, 4658:3, 4660:1"
59,win-32-h1|win-32-h1$|20220719T1420Z|chunk069|micro09,78,69,9,0,10,10,6377287975.702349,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
60,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro00,79,180,0,0,10,10,6377287975.702349,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
61,win-32-h1|win-32-h1$|20220719T1430Z|chunk018|micro06,91,18,6,0,10,10,6377287975.702349,spoolsv.exe:10,"4663:4, 4656:3, 4658:2, 4660:1"
62,win-32-h1|win-32-h1$|20220719T1420Z|chunk224|micro02,75,224,2,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
63,win-32-h1|win-32-h1$|20220719T1430Z|chunk165|micro02,76,165,2,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
64,win-32-h1|win-32-h1$|20220719T1420Z|chunk146|micro01,83,146,1,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
65,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro01,85,28,1,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
66,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro05,86,115,5,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
67,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro05,87,128,5,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
68,win-32-h1|win-32-h1$|20220719T1430Z|chunk110|micro02,89,110,2,0,10,10,6332698132.3542,spoolsv.exe:10,"4658:3, 4656:3, 4663:3, 4660:1"
69,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro09,85,28,9,0,10,10,5629884799.25807,"wmiprvse.exe:8, spoolsv.exe:2","4658:3, 4656:3, 4663:3, 4660:1"
70,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro07,85,28,7,0,10,10,5267892400.941683,spoolsv.exe:10,"4656:4, 4663:3, 4658:3"
71,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro00,86,115,0,0,10,10,5267892400.941683,spoolsv.exe:10,"4656:4, 4663:3, 4658:3"
72,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro00,87,128,0,0,10,10,5267892400.941683,spoolsv.exe:10,"4656:4, 4663:3, 4658:3"
73,win-32-h1|win-32-h1$|20220719T1430Z|chunk043|micro01,92,43,1,0,10,10,5267892400.941683,spoolsv.exe:10,"4656:4, 4663:3, 4658:3"
74,win-32-h1|win-32-h1$|20220719T1420Z|chunk224|micro08,75,224,8,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
75,win-32-h1|win-32-h1$|20220719T1430Z|chunk165|micro08,76,165,8,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
76,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro00,81,186,0,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
77,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro00,82,104,0,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
78,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro09,82,104,9,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
79,win-32-h1|win-32-h1$|20220719T1420Z|chunk146|micro07,83,146,7,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
80,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro01,86,115,1,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
81,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro01,87,128,1,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
82,win-32-h1|win-32-h1$|20220719T1420Z|chunk194|micro06,88,194,6,0,10,10,5103820917.949539,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
83,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro08,77,126,8,0,10,10,5080070114.414141,spoolsv.exe:10,"4658:4, 4656:3, 4663:3"
84,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro01,81,186,1,0,10,10,5080070114.414141,spoolsv.exe:10,"4658:4, 4656:3, 4663:3"
85,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro00,84,33,0,0,10,10,5080070114.414141,spoolsv.exe:10,"4658:4, 4656:3, 4663:3"
86,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro09,84,33,9,0,10,10,5080070114.414141,spoolsv.exe:10,"4658:4, 4656:3, 4663:3"
87,win-32-h1|win-32-h1$|20220719T1430Z|chunk043|micro00,92,43,0,0,10,10,5080070114.414141,spoolsv.exe:10,"4658:4, 4656:3, 4663:3"
88,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro03,86,115,3,0,10,10,5032019839.954421,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
89,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro03,87,128,3,0,10,10,5032019839.954421,spoolsv.exe:10,"4663:4, 4658:3, 4656:3"
90,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro04,79,180,4,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
91,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro05,79,180,5,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
92,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro06,79,180,6,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
93,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro03,80,12,3,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
94,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro04,80,12,4,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
95,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro05,80,12,5,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
96,win-32-h1|win-32-h1$|20220719T1430Z|chunk043|micro07,92,43,7,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
97,win-32-h1|win-32-h1$|20220719T1430Z|chunk043|micro08,92,43,8,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
98,win-32-h1|win-32-h1$|20220719T1430Z|chunk043|micro09,92,43,9,0,10,10,4330747744.757498,tpautoconnsvc.exe:10,"4663:4, 4658:2, 4656:2, 4660:2"
99,win-32-h1|win-32-h1$|20220719T1420Z|chunk224|micro04,75,224,4,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
100,win-32-h1|win-32-h1$|20220719T1420Z|chunk224|micro05,75,224,5,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
101,win-32-h1|win-32-h1$|20220719T1420Z|chunk224|micro06,75,224,6,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
102,win-32-h1|win-32-h1$|20220719T1430Z|chunk165|micro04,76,165,4,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
103,win-32-h1|win-32-h1$|20220719T1430Z|chunk165|micro05,76,165,5,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
104,win-32-h1|win-32-h1$|20220719T1430Z|chunk165|micro06,76,165,6,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
105,win-32-h1|win-32-h1$|20220719T1420Z|chunk146|micro03,83,146,3,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
106,win-32-h1|win-32-h1$|20220719T1420Z|chunk146|micro04,83,146,4,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
107,win-32-h1|win-32-h1$|20220719T1420Z|chunk146|micro05,83,146,5,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
108,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro03,85,28,3,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
109,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro04,85,28,4,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
110,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro05,85,28,5,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
111,win-32-h1|win-32-h1$|20220719T1430Z|chunk028|micro06,85,28,6,0,10,10,4121433395.6808023,tpautoconnsvc.exe:10,"4663:4, 4656:2, 4660:2, 4658:2"
112,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro03,97,160,3,0,10,10,4115718840.2232223,flashplayerupdateservice.exe:10,"4663:4, 4658:3, 4656:3"
113,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro04,74,86,4,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
114,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro05,74,86,5,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
115,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro06,74,86,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
116,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro04,77,126,4,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
117,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro05,77,126,5,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
118,win-32-h1|win-32-h1$|20220719T1430Z|chunk126|micro06,77,126,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
119,win-32-h1|win-32-h1$|20220719T1420Z|chunk069|micro05,78,69,5,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
120,win-32-h1|win-32-h1$|20220719T1420Z|chunk069|micro06,78,69,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
121,win-32-h1|win-32-h1$|20220719T1420Z|chunk069|micro07,78,69,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
122,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro06,81,186,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
123,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro07,81,186,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
124,win-32-h1|win-32-h1$|20220719T1420Z|chunk186|micro08,81,186,8,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
125,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro05,82,104,5,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
126,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro06,82,104,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
127,win-32-h1|win-32-h1$|20220719T1430Z|chunk104|micro07,82,104,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
128,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro05,84,33,5,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
129,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro06,84,33,6,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
130,win-32-h1|win-32-h1$|20220719T1430Z|chunk033|micro07,84,33,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
131,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro07,86,115,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
132,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro08,86,115,8,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
133,win-32-h1|win-32-h1$|20220719T1420Z|chunk115|micro09,86,115,9,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
134,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro07,87,128,7,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
135,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro08,87,128,8,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
136,win-32-h1|win-32-h1$|20220719T1420Z|chunk128|micro09,87,128,9,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
137,win-32-h1|win-32-h1$|20220719T1420Z|chunk194|micro02,88,194,2,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
138,win-32-h1|win-32-h1$|20220719T1420Z|chunk194|micro03,88,194,3,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
139,win-32-h1|win-32-h1$|20220719T1420Z|chunk194|micro04,88,194,4,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
140,win-32-h1|win-32-h1$|20220719T1430Z|chunk110|micro00,89,110,0,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
141,win-32-h1|win-32-h1$|20220719T1430Z|chunk018|micro02,91,18,2,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
142,win-32-h1|win-32-h1$|20220719T1430Z|chunk018|micro03,91,18,3,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
143,win-32-h1|win-32-h1$|20220719T1430Z|chunk018|micro04,91,18,4,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
144,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro03,96,3,3,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
145,win-32-h1|win-32-h1$|20220719T1420Z|chunk003|micro04,96,3,4,0,10,10,4106206523.497485,tpautoconnsvc.exe:10,"4663:4, 4660:2, 4658:2, 4656:2"
146,win-32-h1|win-32-h1$|20220719T1430Z|chunk005|micro09,94,5,9,0,10,10,3791127931.345465,"repwmiutils.exe:5, svchost.exe:5","4658:4, 4663:3, 4656:2, 4689:1"
147,win-32-h1|win-32-h1$|20220719T1430Z|chunk180|micro01,79,180,1,0,10,10,2581568304.946148,spoolsv.exe:10,"4658:4, 4663:3, 4656:2, 4660:1"
148,win-32-h1|win-32-h1$|20220719T1430Z|chunk012|micro00,80,12,0,0,10,10,2581568304.946148,spoolsv.exe:10,"4658:4, 4663:3, 4656:2, 4660:1"
149,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro08,97,160,8,0,10,10,2438271056.1453485,wmiprvse.exe:10,"4658:4, 4656:3, 4663:3"
150,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro01,97,160,1,0,10,10,2058189321.3274047,flashplayerupdateservice.exe:10,"4656:4, 4663:3, 4658:3"
151,win-32-h1|win-32-h1$|20220719T1430Z|chunk160|micro02,97,160,2,0,10,10,686177904.579526,flashplayerupdateservice.exe:10,"4656:4, 4663:3, 4658:3"
152,win-32-h1|win-32-h1$|20220719T1430Z|chunk086|micro07,74,86,7,0,10,10,352516202.02481925,"spoolsv.exe:7, tpautoconnsvc.exe:3","4663:3, 4658:3, 4656:3, 4660:1"
