chain_id,episode_id,scenario_group,chain_type,chain_title,step_id,order,focus_process,subject,action,object,evidence_basis,source_window_id
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S06,6,cmd.exe,plugin_host.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld2.py""""",CBC alert / CBC event の parent_path と process_cmdline,W09
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S07,7,cmd.exe,cmd.exe,/cでPython実行コマンドを起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Program Files\Sublime Text 3\helloworld2.py""""",CBC alert / CBC event process_cmdline,W09
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S08,8,cmd.exe,cmd.exe,python.exeを子プロセスとして起動した,C:\Program Files\Sublime Text 3\helloworld2.py,CBC event procstart childproc_name,W09
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S09,9,python.exe,sublime_text.exe,python.exeを起動した,C:\Program Files\Sublime Text 3\helloworld.py,CBC alert / CBC event parent_path,W10
chain_07_e05_sublime_python_script_execution_chain,E05,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C07-S10,10,python.exe,python.exe,Pythonスクリプトを実行した,C:\Program Files\Sublime Text 3\helloworld.py,process_cmdline,W10
chain_09_e07_cmdexe_other_chain,E07,explicit_execution_chain,cmdexe_other_chain,cmd.exe alert behavior chain,C09-S01,1,cmd.exe,discord.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe""",CBC alert / CBC event の parent_path と process_cmdline,W15
chain_09_e07_cmdexe_other_chain,E07,explicit_execution_chain,cmdexe_other_chain,cmd.exe alert behavior chain,C09-S02,2,cmd.exe,cmd.exe,/cを含むコマンドを実行した,"C:\Windows\system32\cmd.exe /q /d /s /c ""undefined\NVIDIA^ Corporation\NVSMI\nvidia-smi.exe""",近傍証跡,W15
chain_10_e07_discord_run_key_registry_chain,E07,semantic_interpretation_chain,discord_run_key_registry_chain,Discord Run key registry chain,C10-S01,1,reg.exe,discord.exe,Reg.exeを子プロセスとして起動した,C:\Windows\System32\reg.exe (query/add reg.exe child processes),CBC alert parent_process_path / parent_command_line / process_name / command_line,W16
chain_10_e07_discord_run_key_registry_chain,E07,semantic_interpretation_chain,discord_run_key_registry_chain,Discord Run key registry chain,C10-S02,2,reg.exe,reg.exe,レジストリ値を照会した,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord,CBC alert process command_line,W16
chain_10_e07_discord_run_key_registry_chain,E07,semantic_interpretation_chain,discord_run_key_registry_chain,Discord Run key registry chain,C10-S03,3,reg.exe,reg.exe,レジストリ値を追加/更新した,"HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Discord = ""C:\Users\aalsahee\AppData\Local\Discord\Update.exe --processStart Discord.exe""",CBC alert command_line / CBC event regmod_name,W16
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S01,1,cmd.exe,plugin_host.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py""""",CBC alert / CBC event の parent_path と process_cmdline,W13
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S02,2,cmd.exe,cmd.exe,/cでPython実行コマンドを起動した,"C:\Windows\system32\cmd.exe /c ""python -u ""C:\Users\aalsahee\Documents\hello.py""""",CBC alert / CBC event process_cmdline,W13
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S03,3,cmd.exe,cmd.exe,python.exeを子プロセスとして起動した,C:\Users\aalsahee\Documents\hello.py,CBC event procstart childproc_name,W13
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S04,4,python.exe,cmd.exe,python.exeを起動した,C:\Users\aalsahee\Documents\hello.py,CBC alert / CBC event parent_path と process_cmdline,W14
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S05,5,python.exe,python.exe,Pythonスクリプトを実行した,C:\Users\aalsahee\Documents\hello.py,CBC event process_cmdline,W14
chain_11_e07_sublime_python_script_execution_chain,E07,multi_step_chain,sublime_python_script_execution_chain,Sublime-triggered Python script execution,C11-S06,6,python.exe,python.exe,pipでパッケージをインストールした,xmltodict,CBC event process_cmdline,W14
chain_12_e08_python_simplehttpserver_network_chain,E08,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C12-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W17
chain_12_e08_python_simplehttpserver_network_chain,E08,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C12-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:39277,CBC event netconn,W17
chain_13_e09_dns_packet_capture_batch_chain,E09,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C13-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W18
chain_13_e09_dns_packet_capture_batch_chain,E09,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C13-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W18
chain_13_e09_dns_packet_capture_batch_chain,E09,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C13-S03,3,cmd.exe,cmd.exe,ログ収集系プロセスを派生させた,tshark.exe,CBC event childproc/object,W18
chain_13_e09_dns_packet_capture_batch_chain,E09,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C13-S05,5,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W20
chain_13_e09_dns_packet_capture_batch_chain,E09,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C13-S06,6,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W20
chain_14_e09_python_simplehttpserver_network_chain,E09,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C14-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W19
chain_14_e09_python_simplehttpserver_network_chain,E09,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C14-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,待受/通信先詳細は限定的,CBC event netconn,W19
chain_15_e10_python_simplehttpserver_network_chain,E10,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C15-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W21
chain_15_e10_python_simplehttpserver_network_chain,E10,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C15-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:54869,CBC event netconn,W21
chain_16_e11_python_simplehttpserver_network_chain,E11,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C16-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W22
chain_16_e11_python_simplehttpserver_network_chain,E11,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C16-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:51647,CBC event netconn,W22
chain_17_e12_python_simplehttpserver_network_chain,E12,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C17-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W23
chain_17_e12_python_simplehttpserver_network_chain,E12,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C17-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:48503,CBC event netconn,W23
chain_18_e13_dns_packet_capture_batch_chain,E13,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C18-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W25
chain_18_e13_dns_packet_capture_batch_chain,E13,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C18-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W25
chain_19_e13_python_simplehttpserver_network_chain,E13,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C19-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W24
chain_19_e13_python_simplehttpserver_network_chain,E13,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C19-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:59277,CBC event netconn,W24
chain_21_e15_python_simplehttpserver_network_chain,E15,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C21-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W27
chain_21_e15_python_simplehttpserver_network_chain,E15,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C21-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:49187,CBC event netconn,W27
chain_22_e16_python_simplehttpserver_network_chain,E16,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C22-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W28
chain_22_e16_python_simplehttpserver_network_chain,E16,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C22-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:58211,CBC event netconn,W28
chain_23_e17_python_simplehttpserver_network_chain,E17,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C23-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W29
chain_23_e17_python_simplehttpserver_network_chain,E17,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C23-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,10.193.66.115:41345,CBC event netconn,W29
chain_24_e18_cmdexe_other_chain,E18,explicit_execution_chain,cmdexe_other_chain,cmd.exe alert behavior chain,C24-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\run_http_server.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W32
chain_24_e18_cmdexe_other_chain,E18,explicit_execution_chain,cmdexe_other_chain,cmd.exe alert behavior chain,C24-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,run_http_server.bat,process_cmdline,W32
chain_24_e18_cmdexe_other_chain,E18,explicit_execution_chain,cmdexe_other_chain,cmd.exe alert behavior chain,C24-S03,3,cmd.exe,cmd.exe,Pythonプロセスを派生させた,python.exe,CBC event childproc/object,W32
chain_25_e18_dns_packet_capture_batch_chain,E18,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C25-S01,1,cmd.exe,explorer.exe,cmd.exeを子プロセスとして起動した,"C:\Windows\system32\cmd.exe /c """"C:\Users\aalsahee\Desktop\start_dns_logs.bat"" """,CBC alert / CBC event の parent_path と process_cmdline,W30
chain_25_e18_dns_packet_capture_batch_chain,E18,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C25-S02,2,cmd.exe,cmd.exe,/cでバッチファイルを実行した,start_dns_logs.bat,process_cmdline,W30
chain_25_e18_dns_packet_capture_batch_chain,E18,multi_step_chain,dns_packet_capture_batch_chain,DNS packet capture batch execution,C25-S03,3,cmd.exe,cmd.exe,ログ収集系プロセスを派生させた,tshark.exe,CBC event childproc/object,W30
chain_26_e18_python_simplehttpserver_network_chain,E18,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C26-S01,1,python.exe,python.exe,SimpleHTTPServerモジュールを指定して起動した,python  -m SimpleHTTPServer,CBC event process_cmdline,W31
chain_26_e18_python_simplehttpserver_network_chain,E18,explicit_execution_chain,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,C26-S02,2,python.exe,python.exe,ネットワークサーバ挙動として検知された,待受/通信先詳細は限定的,CBC event netconn,W31
