instance_id,chain_id,stage,difficulty,host,focus_process,chain_type,scenario_group,scenario_group_ja,expected_behavior,episode_start_utc,episode_end_utc,source_window_ids,gold_chain_file
chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:55:00Z,2022-07-15T21:00:00Z,W05,by_chain/chain_04_e03_dns_packet_capture_batch_chain/chain_gold.json
chain_04_e03_dns_packet_capture_batch_chain_stage3,chain_04_e03_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-15T20:55:00Z,2022-07-15T21:00:00Z,W05,by_chain/chain_04_e03_dns_packet_capture_batch_chain/chain_gold.json
chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T20:50:00Z,2022-07-15T20:55:00Z,W04,by_chain/chain_05_e03_python_simplehttpserver_network_chain/chain_gold.json
chain_05_e03_python_simplehttpserver_network_chain_stage2,chain_05_e03_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T20:50:00Z,2022-07-15T20:55:00Z,W04,by_chain/chain_05_e03_python_simplehttpserver_network_chain/chain_gold.json
chain_05_e03_python_simplehttpserver_network_chain_stage3,chain_05_e03_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-15T20:50:00Z,2022-07-15T20:55:00Z,W04,by_chain/chain_05_e03_python_simplehttpserver_network_chain/chain_gold.json
chain_06_e04_python_simplehttpserver_network_chain_stage1,chain_06_e04_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T13:05:00Z,2022-07-16T13:10:00Z,W06,by_chain/chain_06_e04_python_simplehttpserver_network_chain/chain_gold.json
chain_06_e04_python_simplehttpserver_network_chain_stage2,chain_06_e04_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T13:05:00Z,2022-07-16T13:10:00Z,W06,by_chain/chain_06_e04_python_simplehttpserver_network_chain/chain_gold.json
chain_06_e04_python_simplehttpserver_network_chain_stage3,chain_06_e04_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T13:05:00Z,2022-07-16T13:10:00Z,W06,by_chain/chain_06_e04_python_simplehttpserver_network_chain/chain_gold.json
chain_07_e05_sublime_python_script_execution_chain_stage1,chain_07_e05_sublime_python_script_execution_chain,stage1,alert_input,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:25:00Z,2022-07-16T13:35:00Z,W07; W08; W09; W10,by_chain/chain_07_e05_sublime_python_script_execution_chain/chain_gold.json
chain_07_e05_sublime_python_script_execution_chain_stage2,chain_07_e05_sublime_python_script_execution_chain,stage2,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:25:00Z,2022-07-16T13:35:00Z,W07; W08; W09; W10,by_chain/chain_07_e05_sublime_python_script_execution_chain/chain_gold.json
chain_07_e05_sublime_python_script_execution_chain_stage3,chain_07_e05_sublime_python_script_execution_chain,stage3,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:25:00Z,2022-07-16T13:35:00Z,W07; W08; W09; W10,by_chain/chain_07_e05_sublime_python_script_execution_chain/chain_gold.json
chain_08_e06_sublime_python_script_execution_chain_stage1,chain_08_e06_sublime_python_script_execution_chain,stage1,alert_input,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:45:00Z,2022-07-16T13:50:00Z,W11; W12,by_chain/chain_08_e06_sublime_python_script_execution_chain/chain_gold.json
chain_08_e06_sublime_python_script_execution_chain_stage2,chain_08_e06_sublime_python_script_execution_chain,stage2,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:45:00Z,2022-07-16T13:50:00Z,W11; W12,by_chain/chain_08_e06_sublime_python_script_execution_chain/chain_gold.json
chain_08_e06_sublime_python_script_execution_chain_stage3,chain_08_e06_sublime_python_script_execution_chain,stage3,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T13:45:00Z,2022-07-16T13:50:00Z,W11; W12,by_chain/chain_08_e06_sublime_python_script_execution_chain/chain_gold.json
chain_09_e07_cmdexe_other_chain_stage1,chain_09_e07_cmdexe_other_chain,stage1,alert_input,WIN-32-H1,cmd.exe,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,cmd.exe alert behavior chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W15,by_chain/chain_09_e07_cmdexe_other_chain/chain_gold.json
chain_09_e07_cmdexe_other_chain_stage2,chain_09_e07_cmdexe_other_chain,stage2,process_time,WIN-32-H1,cmd.exe,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,cmd.exe alert behavior chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W15,by_chain/chain_09_e07_cmdexe_other_chain/chain_gold.json
chain_09_e07_cmdexe_other_chain_stage3,chain_09_e07_cmdexe_other_chain,stage3,process_time,WIN-32-H1,cmd.exe,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,cmd.exe alert behavior chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W15,by_chain/chain_09_e07_cmdexe_other_chain/chain_gold.json
chain_10_e07_discord_run_key_registry_chain_stage1,chain_10_e07_discord_run_key_registry_chain,stage1,alert_input,WIN-32-H1,reg.exe,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,Discord Run key registry chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W16,by_chain/chain_10_e07_discord_run_key_registry_chain/chain_gold.json
chain_10_e07_discord_run_key_registry_chain_stage2,chain_10_e07_discord_run_key_registry_chain,stage2,process_time,WIN-32-H1,reg.exe,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,Discord Run key registry chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W16,by_chain/chain_10_e07_discord_run_key_registry_chain/chain_gold.json
chain_10_e07_discord_run_key_registry_chain_stage3,chain_10_e07_discord_run_key_registry_chain,stage3,process_time,WIN-32-H1,reg.exe,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,Discord Run key registry chain,2022-07-16T15:05:00Z,2022-07-16T15:10:00Z,W16,by_chain/chain_10_e07_discord_run_key_registry_chain/chain_gold.json
chain_11_e07_sublime_python_script_execution_chain_stage1,chain_11_e07_sublime_python_script_execution_chain,stage1,alert_input,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T14:55:00Z,2022-07-16T15:00:00Z,W13; W14,by_chain/chain_11_e07_sublime_python_script_execution_chain/chain_gold.json
chain_11_e07_sublime_python_script_execution_chain_stage2,chain_11_e07_sublime_python_script_execution_chain,stage2,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T14:55:00Z,2022-07-16T15:00:00Z,W13; W14,by_chain/chain_11_e07_sublime_python_script_execution_chain/chain_gold.json
chain_11_e07_sublime_python_script_execution_chain_stage3,chain_11_e07_sublime_python_script_execution_chain,stage3,process_time,WIN-32-H1,cmd.exe; python.exe,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,Sublime-triggered Python script execution,2022-07-16T14:55:00Z,2022-07-16T15:00:00Z,W13; W14,by_chain/chain_11_e07_sublime_python_script_execution_chain/chain_gold.json
chain_12_e08_python_simplehttpserver_network_chain_stage1,chain_12_e08_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T18:35:00Z,2022-07-16T18:40:00Z,W17,by_chain/chain_12_e08_python_simplehttpserver_network_chain/chain_gold.json
chain_12_e08_python_simplehttpserver_network_chain_stage2,chain_12_e08_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T18:35:00Z,2022-07-16T18:40:00Z,W17,by_chain/chain_12_e08_python_simplehttpserver_network_chain/chain_gold.json
chain_12_e08_python_simplehttpserver_network_chain_stage3,chain_12_e08_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T18:35:00Z,2022-07-16T18:40:00Z,W17,by_chain/chain_12_e08_python_simplehttpserver_network_chain/chain_gold.json
chain_13_e09_dns_packet_capture_batch_chain_stage1,chain_13_e09_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-16T21:10:00Z,2022-07-16T21:25:00Z,W18; W20,by_chain/chain_13_e09_dns_packet_capture_batch_chain/chain_gold.json
chain_13_e09_dns_packet_capture_batch_chain_stage2,chain_13_e09_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-16T21:10:00Z,2022-07-16T21:25:00Z,W18; W20,by_chain/chain_13_e09_dns_packet_capture_batch_chain/chain_gold.json
chain_13_e09_dns_packet_capture_batch_chain_stage3,chain_13_e09_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-16T21:10:00Z,2022-07-16T21:25:00Z,W18; W20,by_chain/chain_13_e09_dns_packet_capture_batch_chain/chain_gold.json
chain_14_e09_python_simplehttpserver_network_chain_stage1,chain_14_e09_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T21:15:00Z,2022-07-16T21:20:00Z,W19,by_chain/chain_14_e09_python_simplehttpserver_network_chain/chain_gold.json
chain_14_e09_python_simplehttpserver_network_chain_stage2,chain_14_e09_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T21:15:00Z,2022-07-16T21:20:00Z,W19,by_chain/chain_14_e09_python_simplehttpserver_network_chain/chain_gold.json
chain_14_e09_python_simplehttpserver_network_chain_stage3,chain_14_e09_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-16T21:15:00Z,2022-07-16T21:20:00Z,W19,by_chain/chain_14_e09_python_simplehttpserver_network_chain/chain_gold.json
chain_15_e10_python_simplehttpserver_network_chain_stage1,chain_15_e10_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T13:30:00Z,2022-07-17T13:35:00Z,W21,by_chain/chain_15_e10_python_simplehttpserver_network_chain/chain_gold.json
chain_15_e10_python_simplehttpserver_network_chain_stage2,chain_15_e10_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T13:30:00Z,2022-07-17T13:35:00Z,W21,by_chain/chain_15_e10_python_simplehttpserver_network_chain/chain_gold.json
chain_15_e10_python_simplehttpserver_network_chain_stage3,chain_15_e10_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T13:30:00Z,2022-07-17T13:35:00Z,W21,by_chain/chain_15_e10_python_simplehttpserver_network_chain/chain_gold.json
chain_16_e11_python_simplehttpserver_network_chain_stage1,chain_16_e11_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T14:35:00Z,2022-07-17T14:40:00Z,W22,by_chain/chain_16_e11_python_simplehttpserver_network_chain/chain_gold.json
chain_16_e11_python_simplehttpserver_network_chain_stage2,chain_16_e11_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T14:35:00Z,2022-07-17T14:40:00Z,W22,by_chain/chain_16_e11_python_simplehttpserver_network_chain/chain_gold.json
chain_16_e11_python_simplehttpserver_network_chain_stage3,chain_16_e11_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T14:35:00Z,2022-07-17T14:40:00Z,W22,by_chain/chain_16_e11_python_simplehttpserver_network_chain/chain_gold.json
chain_17_e12_python_simplehttpserver_network_chain_stage1,chain_17_e12_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T17:50:00Z,2022-07-17T17:55:00Z,W23,by_chain/chain_17_e12_python_simplehttpserver_network_chain/chain_gold.json
chain_17_e12_python_simplehttpserver_network_chain_stage2,chain_17_e12_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T17:50:00Z,2022-07-17T17:55:00Z,W23,by_chain/chain_17_e12_python_simplehttpserver_network_chain/chain_gold.json
chain_17_e12_python_simplehttpserver_network_chain_stage3,chain_17_e12_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T17:50:00Z,2022-07-17T17:55:00Z,W23,by_chain/chain_17_e12_python_simplehttpserver_network_chain/chain_gold.json
chain_18_e13_dns_packet_capture_batch_chain_stage1,chain_18_e13_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:00:00Z,2022-07-17T21:05:00Z,W25,by_chain/chain_18_e13_dns_packet_capture_batch_chain/chain_gold.json
chain_18_e13_dns_packet_capture_batch_chain_stage2,chain_18_e13_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:00:00Z,2022-07-17T21:05:00Z,W25,by_chain/chain_18_e13_dns_packet_capture_batch_chain/chain_gold.json
chain_18_e13_dns_packet_capture_batch_chain_stage3,chain_18_e13_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:00:00Z,2022-07-17T21:05:00Z,W25,by_chain/chain_18_e13_dns_packet_capture_batch_chain/chain_gold.json
chain_19_e13_python_simplehttpserver_network_chain_stage1,chain_19_e13_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T20:55:00Z,2022-07-17T21:00:00Z,W24,by_chain/chain_19_e13_python_simplehttpserver_network_chain/chain_gold.json
chain_19_e13_python_simplehttpserver_network_chain_stage2,chain_19_e13_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T20:55:00Z,2022-07-17T21:00:00Z,W24,by_chain/chain_19_e13_python_simplehttpserver_network_chain/chain_gold.json
chain_19_e13_python_simplehttpserver_network_chain_stage3,chain_19_e13_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-17T20:55:00Z,2022-07-17T21:00:00Z,W24,by_chain/chain_19_e13_python_simplehttpserver_network_chain/chain_gold.json
chain_20_e14_dns_packet_capture_batch_chain_stage1,chain_20_e14_dns_packet_capture_batch_chain,stage1,alert_input,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:15:00Z,2022-07-17T21:20:00Z,W26,by_chain/chain_20_e14_dns_packet_capture_batch_chain/chain_gold.json
chain_20_e14_dns_packet_capture_batch_chain_stage2,chain_20_e14_dns_packet_capture_batch_chain,stage2,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:15:00Z,2022-07-17T21:20:00Z,W26,by_chain/chain_20_e14_dns_packet_capture_batch_chain/chain_gold.json
chain_20_e14_dns_packet_capture_batch_chain_stage3,chain_20_e14_dns_packet_capture_batch_chain,stage3,process_time,WIN-32-H1,cmd.exe,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,DNS packet capture batch execution,2022-07-17T21:15:00Z,2022-07-17T21:20:00Z,W26,by_chain/chain_20_e14_dns_packet_capture_batch_chain/chain_gold.json
chain_21_e15_python_simplehttpserver_network_chain_stage1,chain_21_e15_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T13:25:00Z,2022-07-18T13:30:00Z,W27,by_chain/chain_21_e15_python_simplehttpserver_network_chain/chain_gold.json
chain_21_e15_python_simplehttpserver_network_chain_stage2,chain_21_e15_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T13:25:00Z,2022-07-18T13:30:00Z,W27,by_chain/chain_21_e15_python_simplehttpserver_network_chain/chain_gold.json
chain_21_e15_python_simplehttpserver_network_chain_stage3,chain_21_e15_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T13:25:00Z,2022-07-18T13:30:00Z,W27,by_chain/chain_21_e15_python_simplehttpserver_network_chain/chain_gold.json
chain_22_e16_python_simplehttpserver_network_chain_stage1,chain_22_e16_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T17:45:00Z,2022-07-18T17:50:00Z,W28,by_chain/chain_22_e16_python_simplehttpserver_network_chain/chain_gold.json
chain_22_e16_python_simplehttpserver_network_chain_stage2,chain_22_e16_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T17:45:00Z,2022-07-18T17:50:00Z,W28,by_chain/chain_22_e16_python_simplehttpserver_network_chain/chain_gold.json
chain_22_e16_python_simplehttpserver_network_chain_stage3,chain_22_e16_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T17:45:00Z,2022-07-18T17:50:00Z,W28,by_chain/chain_22_e16_python_simplehttpserver_network_chain/chain_gold.json
chain_23_e17_python_simplehttpserver_network_chain_stage1,chain_23_e17_python_simplehttpserver_network_chain,stage1,alert_input,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T18:50:00Z,2022-07-18T18:55:00Z,W29,by_chain/chain_23_e17_python_simplehttpserver_network_chain/chain_gold.json
chain_23_e17_python_simplehttpserver_network_chain_stage2,chain_23_e17_python_simplehttpserver_network_chain,stage2,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T18:50:00Z,2022-07-18T18:55:00Z,W29,by_chain/chain_23_e17_python_simplehttpserver_network_chain/chain_gold.json
chain_23_e17_python_simplehttpserver_network_chain_stage3,chain_23_e17_python_simplehttpserver_network_chain,stage3,process_time,WIN-32-H1,python.exe,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,Python SimpleHTTPServer network behavior,2022-07-18T18:50:00Z,2022-07-18T18:55:00Z,W29,by_chain/chain_23_e17_python_simplehttpserver_network_chain/chain_gold.json
chain_24_e18_cmdexe_other_chain_stage1,chain_24_e18_cmdexe_other_chain,stage1,alert_input,WIN-32-H1,cmd.exe,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,cmd.exe alert behavior chain,2022-07-18T21:05:00Z,2022-07-18T21:10:00Z,W32,by_chain/chain_24_e18_cmdexe_other_chain/chain_gold.json
chain_24_e18_cmdexe_other_chain_stage2,chain_24_e18_cmdexe_other_chain,stage2,process_time,WIN-32-H1,cmd.exe,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,cmd.exe alert behavior chain,2022-07-18T21:05:00Z,2022-07-18T21:10:00Z,W32,by_chain/chain_24_e18_cmdexe_other_chain/chain_gold.json
