chain_id,episode_id,chain_type,chain_title,source_window_ids,focus_processes,chain_window_start_utc,chain_window_end_utc,alert_count,alert_names,gold_step_count,case_score_max,chain_gold_file
chain_11_e07_sublime_python_script_execution_chain,E07,sublime_python_script_execution_chain,Sublime-triggered Python script execution,W13; W14,cmd.exe; python.exe,2022-07-16T14:55:00Z,2022-07-16T15:00:00Z,8,Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),6,27,by_chain/chain_11_e07_sublime_python_script_execution_chain/chain_gold.json
chain_12_e08_python_simplehttpserver_network_chain,E08,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W17,python.exe,2022-07-16T18:35:00Z,2022-07-16T18:40:00Z,1,NOTICE,2,11,by_chain/chain_12_e08_python_simplehttpserver_network_chain/chain_gold.json
chain_13_e09_dns_packet_capture_batch_chain,E09,dns_packet_capture_batch_chain,DNS packet capture batch execution,W18; W20,cmd.exe,2022-07-16T21:10:00Z,2022-07-16T21:25:00Z,6,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),5,23,by_chain/chain_13_e09_dns_packet_capture_batch_chain/chain_gold.json
chain_14_e09_python_simplehttpserver_network_chain,E09,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W19,python.exe,2022-07-16T21:15:00Z,2022-07-16T21:20:00Z,1,NOTICE,2,11,by_chain/chain_14_e09_python_simplehttpserver_network_chain/chain_gold.json
chain_15_e10_python_simplehttpserver_network_chain,E10,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W21,python.exe,2022-07-17T13:30:00Z,2022-07-17T13:35:00Z,1,NOTICE,2,11,by_chain/chain_15_e10_python_simplehttpserver_network_chain/chain_gold.json
chain_16_e11_python_simplehttpserver_network_chain,E11,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W22,python.exe,2022-07-17T14:35:00Z,2022-07-17T14:40:00Z,1,NOTICE,2,11,by_chain/chain_16_e11_python_simplehttpserver_network_chain/chain_gold.json
chain_17_e12_python_simplehttpserver_network_chain,E12,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W23,python.exe,2022-07-17T17:50:00Z,2022-07-17T17:55:00Z,1,NOTICE,2,11,by_chain/chain_17_e12_python_simplehttpserver_network_chain/chain_gold.json
chain_18_e13_dns_packet_capture_batch_chain,E13,dns_packet_capture_batch_chain,DNS packet capture batch execution,W25,cmd.exe,2022-07-17T21:00:00Z,2022-07-17T21:05:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_18_e13_dns_packet_capture_batch_chain/chain_gold.json
chain_19_e13_python_simplehttpserver_network_chain,E13,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W24,python.exe,2022-07-17T20:55:00Z,2022-07-17T21:00:00Z,2,NOTICE,2,11,by_chain/chain_19_e13_python_simplehttpserver_network_chain/chain_gold.json
chain_20_e14_dns_packet_capture_batch_chain,E14,dns_packet_capture_batch_chain,DNS packet capture batch execution,W26,cmd.exe,2022-07-17T21:15:00Z,2022-07-17T21:20:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_20_e14_dns_packet_capture_batch_chain/chain_gold.json
chain_21_e15_python_simplehttpserver_network_chain,E15,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W27,python.exe,2022-07-18T13:25:00Z,2022-07-18T13:30:00Z,1,NOTICE,2,11,by_chain/chain_21_e15_python_simplehttpserver_network_chain/chain_gold.json
chain_22_e16_python_simplehttpserver_network_chain,E16,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W28,python.exe,2022-07-18T17:45:00Z,2022-07-18T17:50:00Z,1,NOTICE,2,11,by_chain/chain_22_e16_python_simplehttpserver_network_chain/chain_gold.json
chain_23_e17_python_simplehttpserver_network_chain,E17,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W29,python.exe,2022-07-18T18:50:00Z,2022-07-18T18:55:00Z,1,NOTICE,2,11,by_chain/chain_23_e17_python_simplehttpserver_network_chain/chain_gold.json
chain_24_e18_cmdexe_other_chain,E18,cmdexe_other_chain,cmd.exe alert behavior chain,W32,cmd.exe,2022-07-18T21:05:00Z,2022-07-18T21:10:00Z,5,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),3,15,by_chain/chain_24_e18_cmdexe_other_chain/chain_gold.json
chain_25_e18_dns_packet_capture_batch_chain,E18,dns_packet_capture_batch_chain,DNS packet capture batch execution,W30,cmd.exe,2022-07-18T21:00:00Z,2022-07-18T21:05:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),3,15,by_chain/chain_25_e18_dns_packet_capture_batch_chain/chain_gold.json
chain_26_e18_python_simplehttpserver_network_chain,E18,python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,W31,python.exe,2022-07-18T21:00:00Z,2022-07-18T21:05:00Z,1,NOTICE,2,11,by_chain/chain_26_e18_python_simplehttpserver_network_chain/chain_gold.json
chain_27_e19_dns_packet_capture_batch_chain,E19,dns_packet_capture_batch_chain,DNS packet capture batch execution,W33,cmd.exe,2022-07-19T13:05:00Z,2022-07-19T13:10:00Z,3,Discovery - packet capture tools; Execution - Command and Scripting Interpreter Execution; Execution - Command-Line Interface (cmd.exe /c),2,11,by_chain/chain_27_e19_dns_packet_capture_batch_chain/chain_gold.json
