"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"B","Privilege / Logon","3","Windows User Logoff.","4634:2; 4647:1","","","","","","","ブラウザ、Windowsサービス、Wazuh/SCA、通常ログオンに伴う権限要求・監査失敗","processName別に代表例を選び、Security 4673/4624のユーザーとSysmonプロセスを確認"
"B","File / DLL / Security Tool","3","Possible DLL search order hijack by C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Dpx.dll created in Windows root folder","11:3","C:\\Windows\\system32\\svchost.exe (3)","","","C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Dpx.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Dpx.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Dpx.dll","T1574.001;T1574.002","DLL Search Order Hijacking;DLL Side-Loading","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
"B","File / DLL / Security Tool","3","Possible DLL search order hijack by C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UpdateAgent.dll created in Windows root folder","11:3","C:\\Windows\\system32\\svchost.exe (3)","","","C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UpdateAgent.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UpdateAgent.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UpdateAgent.dll","T1574.001;T1574.002","DLL Search Order Hijacking;DLL Side-Loading","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
"B","File / DLL / Security Tool","3","Possible DLL search order hijack by C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Mitigation.dll created in Windows root folder","11:3","C:\\Windows\\system32\\svchost.exe (3)","","","C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Mitigation.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Mitigation.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\Mitigation.dll","T1574.001;T1574.002","DLL Search Order Hijacking;DLL Side-Loading","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
"B","File / DLL / Security Tool","3","Possible DLL search order hijack by C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UAOneSettings.dll created in Windows root folder","11:3","C:\\Windows\\system32\\svchost.exe (3)","","","C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UAOneSettings.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UAOneSettings.dll || C:\\Windows\\SoftwareDistribution\\Download\\574ea5e93a93625d3c1b7092246bf566\\Metadata\\UAOneSettings.dll","T1574.001;T1574.002","DLL Search Order Hijacking;DLL Side-Loading","Windows Update、Defender、インストーラ、開発ツールによるDLL配置・ファイル生成・プロセス参照","ファイルパスがWindows Update/Defender/Program Files配下か、署名・親プロセスを確認"
"C","SCA / Wazuh内部チェック","3","Summary event of the report's signatures.","1001:3","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","2","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Basic authentication' is set to 'Disabled'.",":2","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","Windows System / License","2","License activation (slui.exe) failed.","8198:2","","","","","","","Windowsライセンス認証、Software Protection Platformの定期処理","System/TaskSchedulerでSoftware Protection関連タスクを確認"
"C","SCA / Wazuh内部チェック","2","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow unencrypted traffic' is set to 'Disabled'.",":2","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"A","Script / PowerShell","2","C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe created a new scripting file under Windows Temp or User data folder","11:2","C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe (2)","","","C:\\Windows\\Temp\\__PSScriptPolicyTest_21imq12b.nbw.ps1 || C:\\Windows\\Temp\\__PSScriptPolicyTest_lanaklnb.boe.ps1","T1105;T1059","Ingress Tool Transfer;Command and Scripting Interpreter","Chocolatey、開発ツール、Wazuh/SCA、インストール処理による一時スクリプト生成・PowerShell利用","作成ファイルパス、親プロセス、同時刻のソフト導入・更新イベントを確認"
"A","Script / PowerShell","2","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","1:2","C:\\Windows\\SysWOW64\\SecEdit.exe (2)","C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe (2)","\""C:\\Windows\\system32\\SecEdit.exe\"" /export /cfg C:\\Windows\\TEMP/secexport.cfg || \""C:\\Windows\\system32\\SecEdit.exe\"" /export /cfg C:\\Windows\\TEMP/secexport.cfg","","T1059.001","PowerShell","Chocolatey、開発ツール、Wazuh/SCA、インストール処理による一時スクリプト生成・PowerShell利用","作成ファイルパス、親プロセス、同時刻のソフト導入・更新イベントを確認"
"B","Privilege / Logon","2","Windows workstation logon success.","4624:2","C:\\Windows\\System32\\svchost.exe (2)","","","","T1078","Valid Accounts","ブラウザ、Windowsサービス、Wazuh/SCA、通常ログオンに伴う権限要求・監査失敗","processName別に代表例を選び、Security 4673/4624のユーザーとSysmonプロセスを確認"
"C","SCA / Wazuh内部チェック","2","Wazuh agent started.",":2","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","SessionEnv was unavailable to handle a notification event.","6000:1","","","","","","","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","WSearch was unavailable to handle a notification event.","6000:1","","","","","","","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Select when Quality Updates are received' is set to 'Enabled: 0 days'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Account lockout duration' is set to '15 or more minute(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent bypassing Windows Defender SmartScreen prompts for sites' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent Internet Explorer security prompt for Windows Installer scripts' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Sign-in and lock last interactive user automatically after a restart' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Automatic Download and Install of updates' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off the offer to update to the latest version of Windows' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off the Store application' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Automatic Updates' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Automatic Updates: Scheduled install day' is set to '0 - Every day'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Select when Preview Builds and Feature Updates are received' is set to 'Enabled: 180 or more days'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on PowerShell Transcription' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Disallow WinRM from storing RunAs credentials' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow networking in Windows Sandbox' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Accounts: Administrator account status' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Limit Dump Collection' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Download Mode' is NOT set to 'Enabled: Internet'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent the use of security questions for local accounts' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Do not show feedback notifications' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable OneSettings Auditing' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off shell protocol protected mode' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Attack Surface Reduction rules' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow upload of User Activities' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Configure 'Accounts: Rename administrator account'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off the advertising ID' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable Windows NTP Client' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Offer Remote Assistance' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow network connectivity during connected-standby (plugged in)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Block user from showing account details on sign-in' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
