chain_id,model,stage,replicate,run_path_exists,structured_final_json,raw_hypothesis_or_qa_visible,sql_text_visible_in_output,runner_trace_log_available
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_01,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_01,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_01,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,replicate_02,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage2,replicate_02,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-4.1-mini,stage3,replicate_02,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_07_e05_sublime_python_script_execution_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_09_e07_cmdexe_other_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_10_e07_discord_run_key_registry_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_11_e07_sublime_python_script_execution_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_12_e08_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_13_e09_dns_packet_capture_batch_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_14_e09_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_15_e10_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_16_e11_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_17_e12_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_18_e13_dns_packet_capture_batch_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_19_e13_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_21_e15_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_22_e16_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_23_e17_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_24_e18_cmdexe_other_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_25_e18_dns_packet_capture_batch_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_26_e18_python_simplehttpserver_network_chain,gpt-5.4-mini,stage1,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_01_e01_dns_packet_capture_batch_chain,gpt-5.4-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_02_e01_python_simplehttpserver_network_chain,gpt-5.4-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_04_e03_dns_packet_capture_batch_chain,gpt-5.4-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_05_e03_python_simplehttpserver_network_chain,gpt-5.4-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
chain_06_e04_python_simplehttpserver_network_chain,gpt-5.4-mini,stage2,legacy_27_filtered_20260609,yes,yes,no,no,no
